,count,mean,std,min,25%,50%,75%,max,missing_count,missing_pct
SALLE_B201_(A_1_ETAGE_TOUR_B) kW sys (kW) [AVG] ,57375.0,0.8380840918608807,0.11268935061263684,0.01,0.77,0.81,0.9,1.88,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) kvarh (kvarh) [ABS] ,57375.0,7.873301960784316,0.06790337289487496,7.7,7.9,7.9,7.9,7.9,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) kvar sys (kvar) [AVG] ,57375.0,-0.4668614953059071,0.11505299006445184,-1.2,-0.56,-0.5,-0.35,-0.03,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) Hz (Hz) [MIN] ,57375.0,49.95128947363865,0.05366851305216585,48.4,49.9,50.0,50.0,50.1,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) PF sys  [AVG] ,57375.0,-0.8697385434037782,0.07528193828096527,-0.94,-0.9,-0.86,-0.85,0.54,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) A L1 (A) [MIN] ,57375.0,3.4516511185991274,0.26090206153968887,0.0,3.37,3.44,3.52,5.84,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) A L1 (A) [AVG] ,57375.0,3.6002634439880645,0.2816956963806639,0.15,3.51,3.58,3.67,6.28,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) A L1 (A) [MAX] ,57375.0,3.7674255403666215,0.3209594013872126,0.16,3.66,3.74,3.83,8.04,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) A L2 (A) [MIN] ,57375.0,0.5609292384376882,0.21077471101307377,0.0,0.42,0.5,0.65,3.35,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) A L2 (A) [AVG] ,57375.0,0.6425001050904003,0.2784930500723083,0.28,0.46,0.55,0.77,3.87,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) A L2 (A) [MAX] ,57375.0,0.7924542070569056,0.37425729072662484,0.31,0.53,0.66,0.99,9.03,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) A L3 (A) [MIN] ,57375.0,0.37778128767294755,0.12441032819080015,0.0,0.3,0.31,0.47,1.19,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) A L3 (A) [AVG] ,57375.0,0.4087622961719936,0.1408157128230171,0.25,0.31,0.33,0.52,1.47,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) A L3 (A) [MAX] ,57375.0,0.49145609375015703,0.19161680818399918,0.25,0.34,0.4,0.65,2.95,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) Run hour meter (h) [ABS] ,57375.0,20324.200461937147,4250.459918540895,12564.58,16816.875,20376.13,23982.39,27566.51,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) Hz (Hz) [AVG] ,57375.0,50.010708119708795,0.025295332704723415,49.64,50.0,50.0,50.01,50.19,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) Hz (Hz) [MAX] ,57375.0,50.081471236983724,0.04416986599328523,49.9,50.1,50.1,50.1,50.6,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) PF L1  [MIN] ,57375.0,-0.9306532673410031,0.0369609573723297,-0.97,-0.94,-0.93,-0.93,-0.07,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) PF L1  [AVG] ,57375.0,-0.9222191217648502,0.048344802253884864,-0.96,-0.93,-0.93,-0.92,-0.04,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) PF L1  [MAX] ,57375.0,-0.9040923701923842,0.1347193023493186,-0.95,-0.92,-0.92,-0.91,1.0,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) PF L2  [MIN] ,57375.0,-0.41676192832030323,0.20511791598758136,-0.86,-0.6,-0.39,-0.22,-0.01,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) PF L2  [AVG] ,57375.0,-0.2229722318076465,0.2409779796471452,-0.83,-0.43,-0.16,0.0,0.06,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) PF L2  [MAX] ,57375.0,-0.11478627062984123,0.2370933747984939,-0.8,-0.29,-0.01,0.07,1.0,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) PF L3  [MIN] ,57375.0,-0.44228881356643596,0.23710577545571268,-0.95,-0.69,-0.36,-0.22,-0.06,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) PF L3  [AVG] ,57375.0,-0.3117011899142156,0.2570848011589615,-0.86,-0.59,-0.12,-0.09,-0.02,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) PF L3  [MAX] ,57375.0,-0.23208905270761776,0.27313841353747936,-0.83,-0.52,-0.04,0.0,1.0,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) PF sys  [MIN] ,57375.0,-0.9111540256868061,0.05672446828359003,-1.0,-0.95,-0.91,-0.86,-0.04,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) PF sys  [MAX] ,57375.0,-0.8217534787561512,0.15606019780689193,-0.9,-0.84,-0.84,-0.83,1.0,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) Phase sequence  [MIN] ,57375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) Phase sequence  [AVG] ,57375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) Phase sequence  [MAX] ,57375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) kVA dmd (kVA) [MIN] ,57375.0,0.963025373960884,0.14748831340180296,0.0,0.85,0.95,1.06,2.12,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) kVA dmd (kVA) [AVG] ,57375.0,0.963025373960884,0.14748831340180296,0.0,0.85,0.95,1.06,2.12,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) kVA dmd (kVA) [MAX] ,57375.0,0.963025373960884,0.14748831340180296,0.0,0.85,0.95,1.06,2.12,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) V L1-L2 (V) [MIN] ,57375.0,390.8414133740795,3.039008757684455,355.3,388.9,391.1,393.0,398.7,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) V L1-L2 (V) [AVG] ,57375.0,391.9633440410186,2.9275518415854545,376.2,390.06,392.2,394.12,399.35,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) V L1-L2 (V) [MAX] ,57375.0,392.9093762486134,2.907033326243358,376.7,391.0,393.1,395.0,405.8,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) V L1-N (V) [MIN] ,57375.0,225.66904130180993,1.774387952028488,206.3,224.6,225.8,227.0,230.3,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) V L1-N (V) [AVG] ,57375.0,226.37836818937606,1.7215791743083904,217.29,225.27,226.52,227.64,230.95,2817,4.680023923444976
